Date,Open,High,Low,Close,Volume,Adj Close
2003-04-14,22.469999,22.870001,22.43,22.82,1123700,18.821865
2003-04-15,23.530001,24.200001,23.530001,24.030001,4383300,19.81987
2003-04-16,24.4,24.6,23.700001,23.9,3859700,19.712646
2003-04-17,24.200001,25.799999,24.200001,25.719999,5395600,21.213776
2003-04-21,25.6,25.959999,25.41,25.58,1582100,21.098305
2017-04-06,97.129997,97.660004,96.940002,97.269997,516400,97.269997
2017-04-07,97.050003,97.650002,97.010002,97.519997,448700,97.519997
2017-04-10,97.150002,97.470001,97.029999,97.389999,660300,97.389999
2017-04-11,97.040001,97.260002,96.040001,97.059998,841300,97.059998
2017-04-12,97.129997,97.489998,96.910004,97.339996,726700,97.339996
