Date,Open,High,Low,Close,Volume,Adj Close
2014-03-27,568.00257,568.00257,552.922516,558.462551,13100,558.462551
2014-03-28,561.202549,566.43259,558.672477,559.992504,41200,559.992504
2014-03-31,566.892592,567.002574,556.932537,556.972503,10800,556.972503
2014-04-01,558.712565,568.452595,558.712565,567.162558,7900,567.162558
2014-04-02,599.992707,604.832763,562.192568,567.002574,147100,567.002574
2015-12-15,753.0,758.080017,743.01001,743.400024,2654600,743.400024
2015-12-16,750.0,760.590027,739.434998,758.090027,1980000,758.090027
2015-12-17,762.419983,762.679993,749.0,749.429993,1544600,749.429993
2015-12-18,746.51001,754.130005,738.150024,739.309998,3118000,739.309998
2015-12-21,746.130005,750.0,740.0,747.77002,1509200,747.77002
