Date,Open,High,Low,Close,Volume,Adj Close
2003-04-14,24.799999,25.15,24.5,25.049999,10417100,25.049999
2003-04-15,24.889999,25.43,24.82,25.129999,6341400,25.129999
2003-04-16,25.299999,25.5,24.129999,24.379999,9294500,24.379999
2003-04-17,24.469999,25.01,24.35,24.99,6789900,24.99
2003-04-21,25.030001,26.17,24.9,25.25,7132300,25.25
2017-04-06,913.799988,917.190002,894.48999,898.280029,6331800,898.280029
2017-04-07,899.650024,900.090027,889.309998,894.880005,3695900,894.880005
2017-04-10,899.630005,908.51001,899.0,907.039978,3146600,907.039978
2017-04-11,907.039978,911.23999,897.5,902.359985,3005500,902.359985
2017-04-12,903.090027,904.090027,895.25,896.22998,2439200,896.22998
