Date,Open,High,Low,Close,Volume,Adj Close
2003-04-14,78.5,80.07,78.160004,80.07,9006000,61.728789
2003-04-15,80.07,82.849998,79.709999,82.790001,13613500,63.825734
2003-04-16,83.379997,84.400002,82.739998,82.879997,10790700,63.895115
2003-04-17,81.889999,84.400002,81.889999,84.260002,8802100,64.95901
2003-04-21,84.400002,84.510002,83.099998,83.360001,6703400,64.265167
2017-04-06,173.470001,173.470001,172.25,172.449997,3416100,172.449997
2017-04-07,172.080002,172.929993,171.279999,172.139999,3556000,172.139999
2017-04-10,172.529999,172.559998,171.0,171.199997,3715300,171.199997
2017-04-11,170.649994,171.229996,168.979996,170.580002,4890200,170.580002
2017-04-12,171.039993,171.199997,170.020004,170.660004,3276900,170.660004
